name,release_date,price_myr,tags,genres,peak_ccu,user_reviews_total,popularity,reviews
Wasteland 3,2020-08-27,RM179.96,"'RPG', 'Turn-Based Combat', 'Post-apocalyptic', 'Strategy', 'CRPG', 'Isometric', 'Co-op', 'Character Customization', 'Turn-Based Tactics', 'Choices Matter', 'Party-Based RPG', 'Story Rich', 'Turn-Based', 'Singleplayer', 'Violent', 'Open World', 'Gore', 'Tactical', 'Sexual Content', 'Great Soundtrack'", 'Strategy' 'RPG',585,15134,Highly Popular,Many Reviews
Surviving Mars,2018-03-15,RM33.70,"'Colony Sim', 'City Builder', 'Strategy', 'Survival', 'Space', 'Base-Building', 'Mars', 'Simulation', 'Sci-fi', 'Resource Management', 'Singleplayer', 'Building', 'Management', 'Sandbox', 'Space Sim', 'Futuristic', 'Open World', 'RTS', 'Great Soundtrack', 'Moddable'", 'Strategy' 'Simulation',732,15129,Highly Popular,Many Reviews
Sanfu,2023-07-27,RM49.46,"'Mystery', 'RPG', 'Drama', 'Adventure', 'D 2', 'Puzzle', 'Colorful', 'Hand-drawn', 'Visual Novel', 'Puzzle-Platformer', 'Story Rich', 'Retro', 'Fantasy', 'Emotional', 'Detective', 'Atmospheric', 'Crime', 'Old School', 'Investigation', 'Surreal'", 'Indie'  'RPG' 'Adventure',20,15069,Highly Popular,Many Reviews
Shadow Warrior,2013-09-26,RM134.95,"'Action', 'FPS', 'Swordplay', 'Gore', 'Comedy', 'First-Person', 'Hack and Slash', 'Singleplayer', 'Shooter', 'Adventure', 'Old School', 'Ninja', 'Dark Humor', 'Great Soundtrack', 'Demons', 'Reboot', 'Funny', 'Remake', 'Classic', 'Atmospheric'", 'Adventure' 'Action',37,15017,Highly Popular,Many Reviews
Just Cause 2: Multiplayer Mod,2013-12-16,Free,"'Open World', 'Multiplayer', 'Action', 'Third-Person Shooter', 'Adventure', 'Mod', 'Sandbox', 'Massively Multiplayer', 'Shooter', 'Free to Play', 'Third Person', 'Co-op', 'Funny', 'Exploration', 'Racing', 'Epic', 'Moddable', 'Singleplayer', 'FPS', 'Zombies'", 'Adventure' 'Action',15,15013,Highly Popular,Many Reviews
The Texas Chain Saw Massacre,2023-08-18,RM179.96,"'Horror', 'Multiplayer', 'Survival Horror', 'Gore', 'Team-Based', 'PvP', 'Third Person', 'Action', 'Survival', 'Stealth', 'Violent', 'Asynchronous Multiplayer', 'Blood', 'Cinematic', 'D 3', 'Atmospheric', 'Indie', 'Nudity', 'Psychological Horror', 'Strategy'", 'Indie' 'Action',1113,15008,Highly Popular,Many Reviews
Far Cry 3 - Blood Dragon,2013-05-01,RM67.46,"'FPS', 's 1980', 'Comedy', 'Action', 'Open World', 'Great Soundtrack', 'Singleplayer', 'Adventure', 'Cyberpunk', 'Shooter', 'Sci-fi', 'Stealth', 'Retro', 'Funny', 'First-Person', 'Futuristic', 'Dragons', 'Atmospheric', 'Parody', 'Post-apocalyptic'", 'Adventure' 'Action',20,15007,Highly Popular,Many Reviews
Children of Morta,2019-09-03,RM98.96,"'Multiplayer', 'Rogue-like', 'Pixel Graphics', 'Hack and Slash', 'Online Co-Op', 'Action Roguelike', 'RPG', 'Rogue-lite', 'Local Co-Op', 'Action', 'Dungeon Crawler', 'Story Rich', 'Singleplayer', 'Co-op', 'D 2', 'Action RPG', 'Isometric', 'Procedural Generation', 'Fantasy', 'Action-Adventure'", 'Adventure'  'Indie'  'RPG' 'Action',108,14986,Highly Popular,Many Reviews
Hired Ops,2021-04-13,Free,"'FPS', 'Multiplayer', 'Free to Play', 'Action', 'Shooter', 'Modern', 'First-Person', 'Massively Multiplayer', 'Early Access', 'Military', 'Singleplayer', 'Controller', 'Co-op', 'Atmospheric', 'PvP', 'Exploration', 'Blood', 'DOF 6', 'Choices Matter', 'Battle Royale'", 'Free to Play'  'Massively Multiplayer' 'Action',232,14978,Highly Popular,Many Reviews
Gorogoa,2017-12-14,RM67.46,"'Puzzle', 'Hand-drawn', 'Indie', 'Beautiful', 'Atmospheric', 'Singleplayer', 'Casual', 'Adventure', 'Stylized', 'Short', 'D 2', 'Point & Click', 'Mystery', 'Story Rich', 'Great Soundtrack', 'Exploration', 'Interactive Fiction', 'Experimental', 'Cartoony', 'Surreal'", 'Casual'  'Indie' 'Adventure',22,14978,Highly Popular,Many Reviews
ISLANDERS,2019-04-04,RM7.83,"'Relaxing', 'City Builder', 'Strategy', 'Building', 'Puzzle', 'Indie', 'Minimalist', 'Singleplayer', 'Beautiful', 'Colony Sim', 'Atmospheric', 'Colorful', 'Procedural Generation', 'Addictive', 'Replay Value', 'Score Attack', 'D 3', 'Top-Down', 'Turn-Based Strategy', 'Exploration'", 'Indie'  'Strategy' 'Casual',136,14958,Highly Popular,Many Reviews
Death Must Die,2023-11-14,RM31.46,"'Early Access', 'Action Roguelike', 'Bullet Hell', 'Rogue-lite', 'Pixel Graphics', 'RPG', 'Action', 'Hack and Slash', 'D 2', 'Rogue-like', 'Action RPG', 'Dark Fantasy', 'Isometric', 'Loot', 'Controller', 'Procedural Generation', 'Singleplayer', 'Fantasy', 'Inventory Management', 'Magic'", 'Casual'  'Early Access'  'Indie'  'RPG' 'Action',1720,14933,Highly Popular,Many Reviews
Alice: Madness Returns,2011-06-17,RM44.96,"'D Platformer 3', 'Horror', 'Female Protagonist', 'Hack and Slash', 'Dark Fantasy', 'Action-Adventure', 'Singleplayer', 'Platformer', 'Third Person', 'Gothic', 'Story Rich', 'Surreal', 'Psychological', 'Fantasy', 'Noir', 'Action', 'Based On A Novel', 'Atmospheric', 'Adventure', 'Supernatural'", 'Adventure' 'Action',488,14912,Highly Popular,Many Reviews
Assassin’s Creed Rogue,2015-03-09,RM89.96,"'Open World', 'Assassin', 'Action', 'Parkour', 'Stealth', 'Third Person', 'Adventure', 'Historical', 'Singleplayer', 'Cinematic', 'Pirates', 'Atmospheric', 'Story Rich', 'Action-Adventure', 'Quick-Time Events', 'Puzzle', 'Simulation', 'Co-op', 'Naval', 'Linear'", 'Adventure' 'Action',321,14907,Highly Popular,Many Reviews
World War Z,2021-09-21,RM134.95,"'Zombies', 'Multiplayer', 'Online Co-Op', 'Action', 'Co-op', 'Singleplayer', 'Shooter', 'Third-Person Shooter', 'PvE', 'FPS', 'Survival Horror', 'Gun Customization', 'Character Customization', 'Gore', 'Post-apocalyptic', 'First-Person', 'Violent', 'Combat', 'Third Person', 'Class-Based'",'Action',849,14907,Highly Popular,Many Reviews
FINAL FANTASY X/X-2 HD Remaster,2016-05-12,RM134.95,"'JRPG', 'Turn-Based Combat', 'RPG', 'Story Rich', 'Great Soundtrack', 'Fantasy', 'Singleplayer', 'Classic', 'Adventure', 'Turn-Based', 'Atmospheric', 'Romance', 'Female Protagonist', 'Anime', 'Remake', 'Action', 'Linear', 'Open World', 'Puzzle', 'Sci-fi'",'RPG',562,14889,Highly Popular,Many Reviews
BIGFOOT,2017-01-31,RM89.96,"'Horror', 'Multiplayer', 'Co-op', 'Survival Horror', 'Online Co-Op', 'Survival', 'Open World', 'Hunting', 'Action', 'Atmospheric', 'Psychological Horror', 'FPS', 'Adventure', 'First-Person', 'Supernatural', 'Singleplayer', 'Shooter', 'Funny', 'Multiple Endings', 'Early Access'", 'Adventure'  'Early Access'  'Indie' 'Action',108,14882,Highly Popular,Many Reviews
Streets of Rage 4,2020-04-30,RM112.46,"'Action', 'em up"": 278,', ': 261,', ': 146,', ': 133,', ': 107,', ': 105,', ': 100,', ': 91,', ': 88,', ': 84,', ': 80,', ': 75,', ': 68,', ': 68,', ': 65,', ': 62,', ': 61,', ': 53,'", 'Indie' 'Action',171,14872,Highly Popular,Many Reviews
Governor of Poker 3,2016-02-19,Free,"'Gambling', 'Card Game', 'Free to Play', 'Multiplayer', 'Sports', 'Character Customization', 'Massively Multiplayer', 'Strategy', 'Western', 'Relaxing', 'Conversation', 'Team-Based', 'Casual', 'Resource Management', 'Simulation', 'PvP', 'Gaming', 'Cartoony', 'Family Friendly', 'Party'", 'Free to Play'  'Massively Multiplayer'  'Simulation' 'Casual',44588,14866,Highly Popular,Many Reviews
Total War: NAPOLEON – Definitive Edition,2010-02-25,RM112.46,"'Strategy', 'Historical', 'Grand Strategy', 'War', 'Turn-Based Strategy', 'RTS', 'Multiplayer', 'Tactical', 'Military', 'Singleplayer', 'Real Time Tactics', 'Turn-Based', 'Action', 'Turn-Based Tactics', 'Simulation', 'Co-op', 'Naval', 'Great Soundtrack', 'Moddable', 'Classic'",'Strategy',1256,14865,Highly Popular,Many Reviews
S.T.A.L.K.E.R.: Clear Sky,2008-09-15,RM44.96,"'Open World', 'Atmospheric', 'Post-apocalyptic', 'FPS', 'Survival', 'Action', 'First-Person', 'RPG', 'Shooter', 'Singleplayer', 'Survival Horror', 'Adventure', 'Multiplayer', 'Horror', 'Sci-fi', 'Classic', 'Moddable', 'Zombies', 'Inventory Management', 'Sandbox'", 'RPG' 'Action',302,14862,Highly Popular,Many Reviews
The Riftbreaker,2021-10-14,RM134.95,"'Base-Building', 'Tower Defense', 'Survival', 'Strategy', 'Hack and Slash', 'Crafting', 'Resource Management', 'Sci-fi', 'Building', 'Action RPG', 'Adventure', 'Exploration', 'RPG', 'Isometric', 'Simulation', 'Loot', 'Sandbox', 'Action', 'Mechs', 'Atmospheric'", 'Adventure'  'Indie'  'RPG'  'Simulation'  'Strategy' 'Action',348,14847,Highly Popular,Many Reviews
Wildermyth,2021-06-15,RM112.46,"'Party-Based RPG', 'Choices Matter', 'Story Rich', 'Turn-Based Tactics', 'Character Customization', 'Procedural Generation', 'Tactical RPG', 'Fantasy', 'Rogue-lite', 'Hand-drawn', 'Turn-Based Strategy', 'RPG', 'Emotional', 'Turn-Based', 'Comic Book', 'Moddable', 'Indie', 'Strategy', 'Singleplayer', '. 5 D 2'", 'RPG'  'Strategy' 'Indie',1726,14845,Highly Popular,Many Reviews
Pillars of Eternity,2015-03-26,RM134.95,"'RPG', 'Fantasy', 'Isometric', 'Story Rich', 'Singleplayer', 'CRPG', 'Party-Based RPG', 'Real-Time with Pause', 'Adventure', 'Kickstarter', 'Character Customization', 'Atmospheric', 'Dark Fantasy', 'Open World', 'Exploration', 'Classic', 'Great Soundtrack', 'Strategy', 'Indie', 'Crowdfunded'",'RPG',294,14836,Highly Popular,Many Reviews
FreshWomen - Season 1,2022-08-19,RM37.76,, 'Indie' 'Adventure',311,14815,Highly Popular,Many Reviews
Stronghold Crusader HD,2013-10-21,RM13.46,"'Real Time Tactics', 'City Builder', 'Colony Sim', 'Medieval', 'Building', 'Base-Building', 'War', 'Sandbox', 'Military', 'Management', 'Economy', 'Strategy', 'RTS', 'Real-Time', 'Isometric', 'Open World', 'Historical', 'Resource Management', 'D 2', 'Simulation'", 'Strategy' 'Simulation',1230,14814,Highly Popular,Many Reviews
Tower Unite,2016-04-08,RM112.46,"'Multiplayer', 'Casual', 'Mini Golf', 'Character Customization', 'Massively Multiplayer', 'Early Access', 'Open World', 'Sandbox', 'Funny', 'Indie', 'Great Soundtrack', 'Action', 'Adventure', 'Racing', 'FPS', 'Memes', 'Zombies', 'Simulation', 'Third Person', 'Arcade'", 'Adventure'  'Casual'  'Early Access'  'Indie'  'Massively Multiplayer'  'Racing' 'Action',299,14806,Highly Popular,Many Reviews
Drunken Wrestlers 2,2019-04-01,Free,"'Early Access', 'Multiplayer', 'Fighting', 'Physics', 'Martial Arts', 'D Fighter 3', 'Character Customization', 'Funny', 'Level Editor', 'Free to Play', 'Action', 'Simulation', 'Moddable', 'Competitive', 'Sports', 'Blood', 'Colorful', 'Programming', 'Party Game', 'PvP'", 'Casual'  'Early Access'  'Free to Play'  'Indie'  'Simulation'  'Sports' 'Action',256,14765,Highly Popular,Many Reviews
missed messages.,2019-05-30,Free,"'Free to Play', 'Visual Novel', 'LGBTQ+', 'Choices Matter', 'Romance', 'Emotional', 'Psychological Horror', 'Female Protagonist', 'Indie', 'Psychological', 'Singleplayer', 'Story Rich', 'Great Soundtrack', 'Casual', 'Simulation', 'Horror', 'Atmospheric', 'Memes', 'Anime', 'Sexual Content'", 'Free to Play'  'Indie'  'Simulation' 'Casual',5,14729,Highly Popular,Many Reviews
Road 96 🛣️,2021-08-16,RM89.82,"'First-Person', 'Colorful', 's"": 846,', ': 760,', ': 700,', ': 691,', ': 650,', ': 621,', ': 617,', ': 602,', ': 589,', ': 565,', ': 551,', ': 543,', ': 540,', ': 535,', ': 496,', ': 495,', ': 492,'", 'Adventure'  'Indie' 'Action',235,14708,Highly Popular,Many Reviews
Disney Dreamlight Valley,2023-12-05,RM179.96,"'Relaxing', 'Life Sim', 'Adventure', 'Exploration', 'Character Customization', 'Simulation', 'Singleplayer', 'Sandbox', 'Fantasy', 'Casual', 'Immersive Sim', 'Story Rich', 'Cooking', 'Family Friendly', 'Farming Sim', 'Fishing', 'Crafting', 'Magic', 'D 3', 'Choose Your Own Adventure'", 'Adventure'  'Casual'  'RPG'  'Simulation' 'Action',5194,14707,Highly Popular,Many Reviews
Sakura Clicker,2015-07-29,Free,"'Nudity', 'Free to Play', 'Anime', 'Sexual Content', 'Mature', 'Clicker', 'Female Protagonist', 'Singleplayer', 'Casual', 'Hentai', 'NSFW', 'Indie', 'Fantasy', 'D 2', 'Memes', 'Funny', 'Dating Sim', 'Adventure', 'RPG', 'Idler'", 'Free to Play'  'Indie' 'Casual',97,14692,Highly Popular,Many Reviews
Trine 2: Complete Story,2013-06-06,RM89.96,"'Puzzle-Platformer', 'Platformer', 'Adventure', 'Action', 'Beautiful', 'D Platformer 2', 'Puzzle', 'Co-op', 'Fantasy', 'Indie', 'Online Co-Op', 'Local Co-Op', 'Multiplayer', 'Physics', 'Great Soundtrack', 'Singleplayer', 'Atmospheric', 'D 2', 'RPG', 'Casual'", 'Adventure'  'Indie' 'Action',53,14684,Highly Popular,Many Reviews
Workers & Resources: Soviet Republic,2019-03-15,RM179.96,"'Strategy', 'Simulation', 'City Builder', 'Sandbox', 'Procedural Generation', 'Base-Building', 'Management', 'Building', 'Economy', 'Moddable', 'Casual', 'Atmospheric', 'Realistic', 'Singleplayer', 'Open World', 'Resource Management', 'Relaxing', 'Replay Value', 'Real-Time with Pause', 'Early Access'", 'Early Access'  'Strategy' 'Simulation',1882,14672,Highly Popular,Many Reviews
Night in the Woods,2017-02-21,RM89.96,"'Story Rich', 'Adventure', 'Atmospheric', 'Stylized', 'Exploration', 'Dark Humor', 'Choices Matter', 'D 2', 'Singleplayer', 'Hand-drawn', 'Narrative', 'Cats', 'Platformer', 'Psychological Horror', 'Visual Novel', 'Mystery', 'Conversation', 'D Platformer 2', 'Funny', 'Capitalism'",'Adventure',112,14666,Highly Popular,Many Reviews
Sword Art Online: Fatal Bullet,2018-02-23,RM179.96,"'Anime', 'RPG', 'Character Customization', 'Action', 'Multiplayer', 'JRPG', 'Third-Person Shooter', 'Open World', 'Shooter', 'Third Person', 'Co-op', 'Singleplayer', 'MMORPG', 'Online Co-Op', 'Fantasy', 'Sexual Content', 'Nudity', 'Great Soundtrack', 'Visual Novel', 'FPS'", 'RPG' 'Action',230,14661,Highly Popular,Many Reviews
ATRI -My Dear Moments-,2020-06-18,RM94.46,"'Visual Novel', 'Anime', 'Story Rich', 'Cute', 'Romance', 'Casual', 'Dating Sim', 'Adventure', 'Multiple Endings', 'Singleplayer', 'Great Soundtrack', 'Emotional', 'Drama', 'Post-apocalyptic', 'Sci-fi', 'Sexual Content', 'Mature', 'Nudity', 'Choices Matter', 'FPS'", 'Casual' 'Adventure',109,14627,Highly Popular,Many Reviews
Mass Effect (2007),2008-12-19,RM134.95,"'RPG', 'Sci-fi', 'Story Rich', 'Action', 'Space', 'Third-Person Shooter', 'Singleplayer', 'Choices Matter', 'Great Soundtrack', 'Third Person', 'Character Customization', 'Shooter', 'Adventure', 'Female Protagonist', 'Romance', 'Atmospheric', 'Open World', 'Action RPG', 'Real-Time with Pause', 'Immersive'", 'RPG' 'Action',35,14586,Highly Popular,Many Reviews
Star Conflict,2013-02-27,Free,"'Exploration', 'Third-Person Shooter', 'Crafting', 'Flight', 'PvE', 'Sandbox', 'Space', 'RPG', 'PvP', 'Trading', 'Competitive', 'Space Sim', 'MMORPG', 'Character Customization', 'D 3', 'Horror', 'Team-Based', 'Open World', 'Action', 'Simulation'", 'Adventure'  'Free to Play'  'Massively Multiplayer'  'RPG'  'Simulation' 'Action',156,14581,Highly Popular,Many Reviews
VTOL VR,2017-08-03,RM134.95,"'Flight', 'VR', 'Simulation', 'Combat', 'Jet', 'Military', 'War', 'Realistic', 'Action', 'Vehicular Combat', 'Physics', 'Naval Combat', 'Artificial Intelligence', 'Singleplayer', 'DOF 6', 'Multiplayer', 'Level Editor', 'First-Person', 'Futuristic', 'Sandbox'", 'Indie'  'Simulation' 'Action',400,14574,Highly Popular,Many Reviews
Call of Duty: Infinite Warfare,2016-11-03,RM269.96,"'Action', 'FPS', 'Multiplayer', 'Zombies', 'Futuristic', 'Space', 'Shooter', 'Hero Shooter', 'First-Person', 'Singleplayer', 'Sci-fi', 'Robots', 'Adventure', 'Story Rich', 'Atmospheric', 'Quick-Time Events', 'War', 'Great Soundtrack', 'Co-op', 'Post-apocalyptic'", 'Adventure' 'Action',175,14566,Highly Popular,Many Reviews
Sun Haven,2023-03-10,RM112.46,"'Farming Sim', 'Pixel Graphics', 'Multiplayer', 'Life Sim', 'RPG', 'Dating Sim', 'Character Customization', 'Relaxing', 'Adventure', 'Crafting', 'Agriculture', 'Singleplayer', 'Fantasy', 'Simulation', 'Magic', 'Exploration', 'Mining', 'Combat', 'Fishing', 'Cooking'", 'Casual'  'Indie'  'RPG'  'Simulation' 'Adventure',1394,14506,Highly Popular,Many Reviews
Company of Heroes 3,2023-02-23,RM269.96,"'Strategy', 'Wargame', 'RTS', 'Action RTS', 'Real Time Tactics', 'World War II', 'PvP', 'Turn-Based Tactics', 'Historical', 'Top-Down', 'Turn-Based Strategy', 'Military', 'Action', 'Choices Matter', 'Tactical', 'Turn-Based Combat', 'War', 'Singleplayer', 'Multiplayer', 'Cinematic'", 'Strategy' 'Action',4262,14503,Highly Popular,Many Reviews
Wargame: Red Dragon,2014-04-17,RM134.95,"'Strategy', 'RTS', 'Military', 'Realistic', 'Wargame', 'Cold War', 'Tactical', 'Multiplayer', 'Real Time Tactics', 'War', 'Simulation', 'Naval', 'Alternate History', 'Singleplayer', 'Real-Time', 'Action', 'Co-op', 'Difficult', 'Epic', 'Adventure'", 'Simulation'  'Strategy' 'Indie',577,14485,Highly Popular,Many Reviews
Contraband Police,2023-03-08,RM94.46,"'Open World', 'First-Person', 'Action', 'Singleplayer', 'Multiple Endings', 'Simulation', 'Realistic', 's 1980', 'Automobile Sim', 'FPS', 'Story Rich', 'Survival', 'Management', 'Immersive Sim', 'Action-Adventure', 'Detective', 'Physics', 'Destruction', 'Atmospheric', 'Indie'", 'Adventure'  'Simulation' 'Action',899,14481,Highly Popular,Many Reviews
Injustice 2,2017-11-30,RM89.96,"'Fighting', 'Action', 'Superhero', 'Multiplayer', 'Local Multiplayer', 'D Fighter 2', 'Singleplayer', 'Comic Book', 'Story Rich', 'Arcade', 'Character Customization', 'Violent', 'Controller', 'Competitive', 'Online Co-Op', 'em up"": 13,', ': 9,', ': 9,', ': 7,'",'Action',211,14472,Highly Popular,Many Reviews
Darkest Dungeon II,2023-05-08,RM120.56,"'Turn-Based Tactics', 'Dungeon Crawler', 'Rogue-lite', 'Dark Fantasy', 'Lovecraftian', 'Singleplayer', 'Perma Death', 'CRPG', 'Rogue-like', 'Story Rich', 'Turn-Based', 'Party-Based RPG', 'Hand-drawn', 'D 2', 'Gothic', 'Procedural Generation', 'Turn-Based Combat', 'RPG', 'Turn-Based Strategy', 'Stylized'", 'RPG'  'Strategy' 'Indie',1447,14466,Highly Popular,Many Reviews
Day of Defeat: Source,2010-07-12,RM44.96,"'FPS', 'World War II', 'Multiplayer', 'Action', 'Shooter', 'Military', 'Team-Based', 'War', 'First-Person', 'Historical', 'Class-Based', 'Classic', 'Tactical', 'Realistic', 'Online Co-Op', 'Gore', 'Strategy', 'Massively Multiplayer', 'Simulation', 'Comedy'",'Action',268,14459,Highly Popular,Many Reviews
Assassin's Creed Revelations,2011-11-29,RM89.96,"'Action', 'Open World', 'Parkour', 'Stealth', 'Adventure', 'Assassin', 'Third Person', 'Multiplayer', 'Historical', 'Singleplayer', 'Story Rich', 'Atmospheric', 'Action-Adventure', 'Great Soundtrack', 'Medieval', 'Conspiracy', 'Controller', 'Sandbox', 'RPG', 'Sci-fi'", 'Adventure' 'Action',140,14455,Highly Popular,Many Reviews
Shadowverse CCG,2016-10-27,Free,"'Free to Play', 'Card Battler', 'Trading Card Game', 'Deckbuilding', 'Anime', 'Card Game', 'Strategy', 'Sexual Content', 'Multiplayer', 'Nudity', 'Fantasy', 'Turn-Based', 'PvP', 'Singleplayer', 'Competitive', 'Cute', 'Casual', 'RPG', 'JRPG', 'Adventure'", 'Free to Play' 'Strategy',1380,14419,Highly Popular,Many Reviews
Spooky's Jump Scare Mansion,2015-07-28,Free,"'Horror', 'Free to Play', 'Cute', 'First-Person', 'Singleplayer', 'Indie', 'Atmospheric', 'Psychological Horror', 'Cartoon', 'Dark Humor', 'Funny', 'Dark', 'Adventure', 'Survival Horror', 'Procedural Generation', 'Survival', 'Action', 'D 3', 'Walking Simulator', 'Comedy'", 'Adventure'  'Free to Play'  'Indie' 'Action',23,14418,Highly Popular,Many Reviews
Tom Clancy’s The Division 2,2023-01-12,RM179.96,"'Multiplayer', 'Open World', 'Looter Shooter', 'Third-Person Shooter', 'Online Co-Op', 'Singleplayer', 'Action', 'Shooter', 'Adventure', 'RPG', 'Post-apocalyptic', 'Co-op', 'Loot', 'Massively Multiplayer', 'Survival', 'Character Customization', 'Military', 'Story Rich', 'PvP', 'PvE'", 'Adventure'  'RPG' 'Action',1704,14334,Highly Popular,Many Reviews
Fran Bow,2015-08-27,RM67.46,"'Psychological Horror', 'Story Rich', 'Point & Click', 'Puzzle', 'Horror', 'Adventure', 'Indie', 'Dark', 'Singleplayer', 'Atmospheric', 'Female Protagonist', 'Psychological', 'Gore', 'Surreal', 'Dark Fantasy', 'D 2', 'Fantasy', 'Hand-drawn', 'Great Soundtrack', 'Hidden Object'", 'Indie' 'Adventure',99,14319,Highly Popular,Many Reviews
NEKOPARA Vol. 0,2015-08-17,RM13.46,"'Anime', 'Nudity', 'Sexual Content', 'Visual Novel', 'Cute', 'Mature', 'Hentai', 'First-Person', 'Singleplayer', 'Dating Sim', 'Casual', 'D 2', 'Story Rich', 'Indie', 'Cats', 'Romance', 'Great Soundtrack', 'Funny', 'Linear', 'Female Protagonist'", 'Indie' 'Casual',25,14301,Highly Popular,Many Reviews
VillageRhapsody,2023-04-26,RM13.46,"'Sexual Content', 'Nudity', 'Mature', 'Hentai', 'RPG', 'Farming Sim', 'Casual', 'Simulation', 'Dating Sim', 'Life Sim', 'D 2', 'Exploration', 'Pixel Graphics', 'Anime', 'Time Management', 'Story Rich', 'Cartoon', 'Hand-drawn', 'Romance', 'Singleplayer'", 'Indie'  'RPG'  'Simulation' 'Casual',127,14301,Highly Popular,Many Reviews
Notes of Soul,2019-01-17,RM134.95,"'Horror', 'Massively Multiplayer', 'Action', 'Sexual Content', 'Adventure', 'Indie', 'Nudity', 'RPG', 'Multiplayer', 'Strategy', 'Casual', 'Early Access', 'Racing', 'Mature', 'Online Co-Op', 'Co-op', 'Survival Horror', 'Funny', 'Third Person'", 'Adventure'  'Casual'  'Early Access'  'Indie'  'Massively Multiplayer'  'RPG'  'Racing'  'Strategy' 'Action',123,14301,Highly Popular,Many Reviews
Death's Door,2021-07-20,RM22.46,"'Souls-like', 'Cute', 'D Platformer 3', 'Cartoony', 'Dark Fantasy', 'Action', 'Adventure', 'Action-Adventure', 'RPG', 'Hack and Slash', 'Action RPG', 'Exploration', 'Isometric', 'Dungeon Crawler', 'D 3', 'Colorful', 'Controller', 'Indie', 'Metroidvania', 'Combat'", 'Adventure'  'Indie'  'RPG' 'Action',331,14298,Highly Popular,Many Reviews
Arrow a Row,2023-08-20,Free,, 'Free to Play'  'Indie'  'Strategy' 'Casual',0,14222,Low Popularity,Many Reviews
High On Life,2022-12-13,RM179.96,"'Comedy', 'FPS', 'Singleplayer', 'Adventure', 'Dark Humor', 'Action-Adventure', 'Sci-fi', 'Sexual Content', 'Shooter', 'First-Person', 'Action', 'Violent', 'Story Rich', 'Gore', 'Colorful', 'Combat', 'Open World', 'Nudity', 'NSFW', 'Psychological Horror'", 'Adventure' 'Action',161,14189,Highly Popular,Many Reviews
Redmatch 2,2021-06-24,Free,, 'Free to Play'  'Indie' 'Action',0,14187,Low Popularity,Many Reviews
Catan Universe,2017-04-25,Free,"'Board Game', 'Strategy', 'Casual', 'Multiplayer', 'Free to Play', 'Card Game', 'Tabletop'", 'Strategy' 'Casual',1094,14166,Highly Popular,Many Reviews
ONE PIECE: PIRATE WARRIORS 4,2020-03-26,RM44.96,"'Anime', 'Hack and Slash', 'em up"": 333,', ': 326,', ': 324,', ': 298,', ': 288,', ': 281,', ': 274,', ': 187,', ': 144,', ': 141,', ': 132,', ': 128,', ': 127,', ': 112,', ': 111,', ': 97,', ': 95,'",'Action',516,14148,Highly Popular,Many Reviews
Demonologist,2023-09-25,RM67.46,"'Horror', 'Multiplayer', 'Online Co-Op', 'Psychological Horror', 'Co-op', 'Investigation', 'First-Person', 'Dark', 'Surreal', 'Demons', 'Mystery', 'Detective', 'Indie', 'Cinematic', 'Thriller', 'D 3', 'Action', 'Tactical', 'Lovecraftian', 'Survival Horror'", 'Adventure'  'Indie' 'Action',350,14084,Highly Popular,Many Reviews
MIR4,2021-08-25,Free,, 'Adventure'  'Free to Play'  'Massively Multiplayer'  'RPG' 'Action',0,14079,Low Popularity,Many Reviews
Assassin’s Creed III,2012-11-20,Free,"'Adventure', 'Open World', 'Action', 'Assassin', 'Parkour', 'Stealth', 'Third Person', 'Historical', 'Multiplayer', 'America', 'Singleplayer', 'Story Rich', 'Hunting', 'Atmospheric', 'Action-Adventure', 'Sandbox', 'Alternate History', 'Conspiracy', 'Controller', 'D 3'",'Adventure',22,14060,Highly Popular,Many Reviews
Far Cry 2,2008-10-22,RM44.96,"'Open World', 'FPS', 'Action', 'Shooter', 'Singleplayer', 'First-Person', 'Multiplayer', 'Adventure', 'Realistic', 'Sandbox', 'Atmospheric', 'Stealth', 'Survival', 'Exploration', 'Level Editor', 'Story Rich', 'Immersive Sim', 'Controller', 'Great Soundtrack', 'Co-op'",'Action',83,14054,Highly Popular,Many Reviews
Sword and Fairy 7,2021-10-21,RM67.46,"'RPG', 'Singleplayer', 'Martial Arts', 'Mythology', 'Action RPG', 'Story Rich', 'Female Protagonist', 'Open World', 'D 3', 'Sexual Content', 'Action', 'Adventure', 'Fantasy', 'Third Person', 'Great Soundtrack', 'CRPG', 'Anime', 'Romance', 'Nudity', 'Atmospheric'", 'Adventure'  'RPG' 'Action',168,14043,Highly Popular,Many Reviews
Quaver,2022-08-19,Free,"'Free to Play', 'Rhythm', 'Music', 'Indie', 'Casual', 'Competitive', 'Psychological Horror', 'Great Soundtrack', 'Multiplayer', 'Difficult', 'Level Editor', 'Early Access', 'Anime', 'Hentai'", 'Free to Play'  'Indie' 'Casual',222,14043,Highly Popular,Many Reviews
Call of Duty: Modern Warfare,2023-03-08,RM269.96,"'Action', 'Singleplayer', 'FPS', 'Multiplayer', 'Shooter', 'Military', 'First-Person', 'Tactical', 'Modern', 'Story Rich', 'PvP', 'Co-op', 'Gun Customization', 'Gore', 'Violent', 'Online Co-Op', 'Battle Royale', 'Realistic', 'Zombies', 'War'",'Action',892,14041,Highly Popular,Many Reviews
